date,score,zone,real_rates_subscore,fwd_1y_nominal_pct
2022-01-31,53,Mixed,90.43,4.52
2022-02-28,51,Mixed,89.82,-0.05
2022-03-31,50,Mixed,89.56,-1.8
2022-04-30,48,Mixed,87.5,3.25
2022-05-31,50,Mixed,84.21,7.73
2022-06-30,50,Mixed,75.96,5.77
2022-07-31,53,Mixed,82.05,12.58
2022-08-31,55,Mixed,79.88,8.73
2022-09-30,47,Mixed,62.55,13.98
2022-10-31,49,Mixed,62.05,15.14
2022-11-30,52,Mixed,64.5,15.01
2022-12-31,48,Mixed,62.09,12.68
2023-01-31,48,Mixed,68.14,7.17
2023-02-28,47,Mixed,63.01,9.06
2023-03-31,42,Mixed,67.41,12.81
2023-04-30,46,Mixed,67.39,16.55
2023-05-31,45,Mixed,63.84,18.02
2023-06-30,48,Mixed,62.6,19.71
2023-07-31,48,Mixed,62.79,22.91
2023-08-31,49,Mixed,53.11,28.71
2023-09-30,48,Mixed,46.76,34.19
2023-10-31,42,Mixed,42.72,40.4
2023-11-30,46,Mixed,48.18,33.62
2023-12-31,45,Mixed,58.53,30.7
2024-01-31,48,Mixed,54.43,33.24
2024-02-29,49,Mixed,51.94,43.1
2024-03-31,40,Mixed,53.75,38.23
2024-04-30,34,Unfavorable,46.32,38.05
2024-05-31,35,Unfavorable,47.4,40.75
2024-06-30,36,Unfavorable,50.47,44.15
2024-07-31,37,Unfavorable,52.53,39.28
2024-08-31,37,Unfavorable,59.31,36.36
2024-09-30,37,Unfavorable,61.69,42.67
2024-10-31,33,Unfavorable,51.99,50.86
2024-11-30,31,Unfavorable,51.39,54.17
2024-12-31,31,Unfavorable,45.9,62.73
