variant,zone,n_months,median_fwd_1y_pct,median_fwd_5y_pct
edges_+5,Historically very favorable,0,,
edges_+5,Favorable,38,14.21,178.18
edges_+5,Mixed,392,7.15,50.19
edges_+5,Unfavorable,170,3.04,1.47
edges_+5,Historically very unfavorable,67,-1.96,3.61
edges_-5,Historically very favorable,3,21.05,235.9
edges_-5,Favorable,218,4.69,59.65
edges_-5,Mixed,321,6.87,22.72
edges_-5,Unfavorable,107,2.65,3.3
edges_-5,Historically very unfavorable,18,52.32,116.54
canonical,Historically very favorable,0,,
canonical,Favorable,110,5.8,71.33
canonical,Mixed,379,6.51,43.2
canonical,Unfavorable,151,3.43,-0.25
canonical,Historically very unfavorable,27,9.67,9.21
equal_weights,Historically very favorable,0,,
equal_weights,Favorable,87,8.56,79.32
equal_weights,Mixed,404,5.07,41.0
equal_weights,Unfavorable,149,5.86,3.84
equal_weights,Historically very unfavorable,27,9.67,9.21
