date,score,zone,score_precise,version,pillars_used,path
2026-08-05,21,Unfavorable,21.121,1.0,6,data/2026/2026-08-05.json
2026-08-06,21,Unfavorable,21.255,1.0,6,data/2026/2026-08-06.json
2026-08-07,19,Historically very unfavorable,18.554,1.0,6,data/2026/2026-08-07.json
2026-08-08,16,Historically very unfavorable,16.329,1.0,5,data/2026/2026-08-08.json
2026-08-09,16,Historically very unfavorable,16.306,1.0,5,data/2026/2026-08-09.json
2026-08-10,19,Historically very unfavorable,18.718,1.0,6,data/2026/2026-08-10.json
2026-08-11,29,Unfavorable,29.355,1.0,6,data/2026/2026-08-11.json
2026-08-12,29,Unfavorable,29.071,1.0,6,data/2026/2026-08-12.json
2026-08-13,29,Unfavorable,29.463,1.0,6,data/2026/2026-08-13.json
2026-08-14,30,Unfavorable,30.132,1.0,6,data/2026/2026-08-14.json
2026-08-15,30,Unfavorable,30.132,1.0,6,data/2026/2026-08-15.json
2026-08-16,30,Unfavorable,30.159,1.0,6,data/2026/2026-08-16.json
2026-08-17,30,Unfavorable,29.974,1.0,6,data/2026/2026-08-17.json
2026-08-18,31,Unfavorable,30.918,1.0,6,data/2026/2026-08-18.json
2026-08-19,30,Unfavorable,29.964,1.0,6,data/2026/2026-08-19.json
2026-08-20,30,Unfavorable,29.765,1.0,6,data/2026/2026-08-20.json
2026-08-21,29,Unfavorable,28.859,1.0,6,data/2026/2026-08-21.json
2026-08-22,29,Unfavorable,28.859,1.0,6,data/2026/2026-08-22.json
2026-08-23,29,Unfavorable,28.79,1.0,6,data/2026/2026-08-23.json
2026-08-24,29,Unfavorable,28.951,1.0,6,data/2026/2026-08-24.json
2026-08-25,29,Unfavorable,29.153,1.0,6,data/2026/2026-08-25.json
2026-08-26,29,Unfavorable,29.444,1.0,6,data/2026/2026-08-26.json
2026-08-27,30,Unfavorable,29.543,1.0,6,data/2026/2026-08-27.json
2026-08-28,31,Unfavorable,31.38,1.0,6,data/2026/2026-08-28.json
2026-08-29,31,Unfavorable,31.38,1.0,6,data/2026/2026-08-29.json
2026-08-30,31,Unfavorable,31.38,1.0,6,data/2026/2026-08-30.json
2026-08-31,31,Unfavorable,31.324,1.0,6,data/2026/2026-08-31.json
2026-09-01,32,Unfavorable,31.987,1.0,6,data/2026/2026-09-01.json
2026-09-02,33,Unfavorable,32.888,1.0,6,data/2026/2026-09-02.json
2026-09-03,32,Unfavorable,31.648,1.0,6,data/2026/2026-09-03.json
2026-09-04,31,Unfavorable,31.419,1.0,6,data/2026/2026-09-04.json
2026-09-05,31,Unfavorable,31.419,1.0,6,data/2026/2026-09-05.json
2026-09-06,31,Unfavorable,31.477,1.0,6,data/2026/2026-09-06.json
2026-09-07,31,Unfavorable,31.477,1.0,6,data/2026/2026-09-07.json
2026-09-08,33,Unfavorable,32.54,1.0,6,data/2026/2026-09-08.json
2026-09-09,32,Unfavorable,32.348,1.0,6,data/2026/2026-09-09.json
2026-09-10,33,Unfavorable,32.84,1.0,6,data/2026/2026-09-10.json
2026-09-11,33,Unfavorable,32.693,1.0,6,data/2026/2026-09-11.json
