date,value
2000-07-31,249179652.37
2000-08-31,456462224.49
2000-09-30,535380606.46
2000-10-31,796618437.15
2000-11-30,795448814.18
2000-12-31,795100422.33
2001-01-31,793520758.67
2001-02-28,792757907.76
2001-03-31,790256804.23
2001-04-30,789962314.35
2001-05-31,788816809.20
2001-06-30,788098134.30
2001-07-31,786723894.14
2001-08-31,785823855.65
2001-09-30,784142507.50
2001-10-31,783357857.34
2001-11-30,781999576.71
2001-12-31,781276189.29
2002-01-31,779822449.29
2002-02-28,779099888.92
2002-03-31,777449462.94
2002-04-30,775632453.31
2002-05-31,774470579.18
2002-06-30,773271262.82
2002-07-31,772398422.68
2002-08-31,771646880.01
2002-09-30,771006683.16
2002-10-31,770950993.97
2002-11-30,770133367.74
2002-12-31,768779050.49
2003-01-31,767112709.31
2003-02-28,766558493.78
2003-03-31,765759173.61
2003-04-30,763333387.89
2003-05-31,762748145.80
2003-06-30,761524705.99
2003-07-31,759330431.22
2003-08-31,758599766.37
2003-09-30,757681399.97
2003-10-31,756897017.57
2003-11-30,755039578.38
2003-12-31,752824201.17
2004-01-31,751739262.08
2004-02-29,750734965.44
2004-03-31,749947307.35
2004-04-30,749207852.45
2004-05-31,747167978.74
2004-06-30,746561872.89
2004-07-31,745817337.73
2004-08-31,744765757.28
2004-09-30,743617728.97
2004-10-31,742021331.91
2004-11-30,740095341.58
2004-12-31,750606230.14
2005-01-31,748729857.85
2005-02-28,746628394.74
2005-03-31,744556497.73
2005-04-30,743983825.37
2005-05-31,742987378.19
2005-06-30,740880477.93
2005-07-31,739628043.00
2005-08-31,739012895.09
2005-09-30,738433360.10
2005-10-31,736356485.21
2005-11-30,734894294.40
2005-12-31,733295976.73
2006-01-31,732500559.76
2006-02-28,731685496.15
2006-03-31,730705205.70
2006-04-30,729824848.55
2006-05-31,729143576.75
2006-06-30,729119961.63
2006-07-31,728142262.47
2006-08-31,727865386.07
2006-09-30,726239705.98
2006-10-31,725894041.49
2006-11-30,724860752.45
2006-12-31,724282793.61
2007-01-31,723963950.26
2007-02-28,723259842.55
2007-03-31,721852119.12
2007-04-30,720310106.90
2007-05-31,718933849.93
2007-06-30,718367187.24
2007-07-31,715951005.34
2007-08-31,715019530.70
2007-09-30,713319783.73
2007-10-31,723683016.95
2007-11-30,723337007.09
2007-12-31,722895031.72
2008-01-31,721869757.79
2008-02-29,721121472.10
2008-03-31,720743183.06
2008-04-30,720183618.37
2008-05-31,719638277.20
2008-06-30,718899762.42
2008-07-31,718659821.73
2008-08-31,718483268.82
2008-09-30,718217721.75
2008-10-31,718352574.21
2008-11-30,718323537.78
2008-12-31,718063175.01
2009-01-31,717852280.32
2009-02-28,717247508.07
2009-03-31,717021469.62
2009-04-30,717173844.28
2009-05-31,717238578.04
2009-06-30,717436013.75
2009-07-31,717991968.08
2009-08-31,718210062.33
2009-09-30,718133015.26
2009-10-31,718768382.16
2009-11-30,718645736.96
2009-12-31,726334556.89
2010-01-31,726480391.39
2010-02-28,726624369.81
2010-03-31,727611989.47
2010-04-30,727802784.82
2010-05-31,728573046.50
2010-06-30,728713235.53
2010-07-31,729769215.68
2010-08-31,730037543.10
2010-09-30,730679149.64
2010-10-31,730661924.76
2010-11-30,730914323.25
2010-12-31,730973904.47
2011-01-31,731027107.37
2011-02-28,731601906.31
2011-03-31,735285007.52
2011-04-30,736047716.39
2011-05-31,736114813.79
2011-06-30,737074492.14
2011-07-31,736809059.85
2011-08-31,736620696.68
2011-09-30,737863696.80
2011-10-31,739246133.91
2011-11-30,740652211.42
2011-12-31,742251212.53
2012-01-31,742623080.68
2012-02-29,742621161.98
2012-03-31,745240640.37
2012-04-30,746355643.18
2012-05-31,747092680.83
2012-06-30,747307685.55
2012-07-31,749384488.29
2012-08-31,749551740.52
2012-09-30,749787661.47
2012-10-31,750467122.02
2012-11-30,750806272.75
2012-12-31,752564456.85
2013-01-31,753390277.65
2013-02-28,753951944.38
2013-03-31,755194225.84
2013-04-30,756173435.65
2013-05-31,757098753.64
2013-06-30,757024055.77
2013-07-31,757981754.78
2013-08-31,759229146.35
2013-09-30,759387768.48
2013-10-31,759769611.63
2013-11-30,759923324.45
2013-12-31,761082949.22
2014-01-31,770493985.29
2014-02-28,771094242.72
2014-03-31,770612419.51
2014-04-30,772029526.58
2014-05-31,772368545.34
2014-06-30,773490637.18
2014-07-31,773735444.34
2014-08-31,774867975.13
2014-09-30,776523605.71
2014-10-31,777136546.92
2014-11-30,778165476.13
2014-12-31,778787826.95
2015-01-31,778373756.26
2015-02-28,778258223.12
2015-03-31,779423598.09
2015-04-30,779609478.99
2015-05-31,779725050.70
2015-06-30,833659132.66
2015-07-31,835320041.98
2015-08-31,836874564.45
2015-09-30,838149050.36
2015-10-31,839167577.80
2015-11-30,840894239.71
2015-12-31,842481292.80
2016-01-31,843715873.23
2016-02-29,843120843.95
2016-03-31,843866607.36
2016-04-30,845021876.21
2016-05-31,844663514.74
2016-06-30,846115090.75
2016-07-31,846135742.61
2016-08-31,846923165.61
2016-09-30,847278196.21
2016-10-31,848268636.40
2016-11-30,848469995.55
2016-12-31,847920163.36
2017-01-31,850064583.21
2017-02-28,850555421.79
2017-03-31,851955255.18
2017-04-30,852507365.01
2017-05-31,853548481.26
2017-06-30,854579630.16
2017-07-31,855716026.00
2017-08-31,856547641.08
2017-09-30,857965055.34
2017-10-31,859803788.72
2017-11-30,861512551.15
2017-12-31,862481431.34
2018-01-31,863837601.50
2018-02-28,864993379.38
2018-03-31,865525437.67
2018-04-30,866191350.88
2018-05-31,866527567.13
2018-06-30,866633574.64
2018-07-31,867897823.03
2018-08-31,866565885.46
2018-09-30,867842872.59
2018-10-31,869761346.95
2018-11-30,871881259.45
2018-12-31,872687395.34
2019-01-31,873393200.69
2019-02-28,875152837.43
2019-03-31,876531845.65
2019-04-30,877857970.68
2019-05-31,878930218.87
2019-06-30,883239380.69
2019-07-31,884170004.92
2019-08-31,884899859.58
2019-09-30,886113653.08
2019-10-31,887172982.66
2019-11-30,888203730.44
2019-12-31,887627417.41
2020-01-31,887901546.26
2020-02-29,889857542.68
2020-03-31,890925450.64
2020-04-30,891921794.82
2020-05-31,892624220.42
2020-06-30,893559906.42
2020-07-31,893839012.69
2020-08-31,893839913.06
2020-09-30,894219938.40
2020-10-31,894408323.57
2020-11-30,893965015.34
2020-12-31,894997509.60
2021-01-31,894514521.30
2021-02-28,894703783.29
2021-03-31,897732830.54
2021-04-30,899371140.45
2021-05-31,901875398.46
2021-06-30,901350773.29
2021-07-31,901654884.81
2021-08-31,901971641.73
2021-09-30,902376314.08
2021-10-31,902862587.12
2021-11-30,902731530.52
2021-12-31,901972671.83
2022-01-31,901773356.79
2022-02-28,901779343.57
2022-03-31,901469580.46
2022-04-30,902310867.93
2022-05-31,903208754.42
2022-06-30,903855019.36
2022-07-31,904312943.50
2022-08-31,904584344.96
2022-09-30,905438694.44
2022-10-31,905473604.57
2022-11-30,906957084.48
2022-12-31,907929989.57
2023-01-31,911191680.44
2023-02-28,912777193.16
2023-03-31,913067368.66
2023-04-30,910333985.98
2023-05-31,909092221.11
2023-06-30,910669393.94
2023-07-31,911847505.28
2023-08-31,914086355.20
2023-09-30,915789814.14
2023-10-31,917201929.80
2023-11-30,918669207.36
2023-12-31,919141613.67
2024-01-31,920226394.36
2024-02-29,921635924.98
2024-03-31,921984311.53
2024-04-30,922895588.11
2024-05-31,923275281.86
2024-06-30,922577335.71
2024-07-31,921706669.20
2024-08-31,921840065.89
2024-09-30,922615893.42
2024-10-31,923815035.52
2024-11-30,925064702.51
2024-12-31,924970317.52
2025-01-31,925303224.72
2025-02-28,926028790.26
2025-03-31,927064898.23
2025-04-30,927659849.78
2025-05-31,928523941.10
2025-06-30,928791197.00
2025-07-31,929194023.38
2025-08-31,929550047.22
2025-09-30,930048695.92
2025-10-31,930516535.64
2025-11-30,931459560.93
2025-12-31,931851397.99
2026-01-31,932095347.35
2026-02-28,932869856.79
2026-03-31,917866678.71
2026-04-30,930985250.84
2026-05-31,931954397.18
2026-06-30,933199781.70
2026-07-31,933199781.70
