date,value
2006-06-13,18.9019
2006-06-20,16.3136
2006-06-27,15.2880
2006-07-03,15.8051
2006-07-11,17.9362
2006-07-18,18.7403
2006-07-25,17.7379
2006-08-01,18.9907
2006-08-08,19.9378
2006-08-15,17.9696
2006-08-22,16.3531
2006-08-29,13.2864
2006-09-05,15.0256
2006-09-12,11.6534
2006-09-19,9.7868
2006-09-26,9.3284
2006-10-03,8.2954
2006-10-10,5.8077
2006-10-17,6.2658
2006-10-24,3.6458
2006-10-31,6.1475
2006-11-07,10.8228
2006-11-14,11.3422
2006-11-21,10.8639
2006-11-28,11.2754
2006-12-05,13.2255
2006-12-12,12.5442
2006-12-19,9.7618
2006-12-26,9.2355
2007-01-03,10.9822
2007-01-09,5.9099
2007-01-16,8.3736
2007-01-23,12.9303
2007-01-30,17.1136
2007-02-06,18.7171
2007-02-13,20.5924
2007-02-20,19.8579
2007-02-27,21.7229
2007-03-06,14.0660
2007-03-13,13.7383
2007-03-20,14.0785
2007-03-27,15.7445
2007-04-03,16.2054
2007-04-10,18.3097
2007-04-17,22.2018
2007-04-24,20.6550
2007-05-01,21.7297
2007-05-08,22.7649
2007-05-15,17.8130
2007-05-22,13.5066
2007-05-29,12.8228
2007-06-05,16.8783
2007-06-12,8.2933
2007-06-19,9.8375
2007-06-26,4.5045
2007-07-03,7.2215
2007-07-10,8.1670
2007-07-17,9.5321
2007-07-24,20.0218
2007-07-31,13.3970
2007-08-07,15.3648
2007-08-14,15.9063
2007-08-21,10.4649
2007-08-28,13.0448
2007-09-04,18.6062
2007-09-11,22.3270
2007-09-18,25.0182
2007-09-25,27.3799
2007-10-02,28.6347
2007-10-09,30.5674
2007-10-16,30.4960
2007-10-23,28.1978
2007-10-30,28.5197
2007-11-06,26.3174
2007-11-13,25.2800
2007-11-20,24.7288
2007-11-27,25.1571
2007-12-04,25.0596
2007-12-11,25.7855
2007-12-18,24.8426
2007-12-24,25.4040
2007-12-31,26.5615
2008-01-08,26.1795
2008-01-15,24.9912
2008-01-22,25.8938
2008-01-29,28.9513
2008-02-05,30.1479
2008-02-12,30.0984
2008-02-19,30.5733
