date,value
1962-01-31,3.4129
1962-02-28,3.1346
1962-03-31,2.8246
1962-04-30,2.5012
1962-05-31,2.5332
1962-06-30,2.6691
1962-07-31,3.0116
1962-08-31,2.8400
1962-09-30,2.5113
1962-10-31,2.5912
1962-11-30,2.5816
1962-12-31,2.6316
1963-01-31,2.5021
1963-02-28,2.6923
1963-03-31,2.8016
1963-04-30,3.0772
1963-05-31,3.0371
1963-06-30,2.6689
1963-07-31,2.4652
1963-08-31,2.4501
1963-09-30,3.0913
1963-10-31,2.8882
1963-11-30,2.8051
1963-12-31,2.4828
1964-01-31,2.5242
1964-02-29,2.7348
1964-03-31,2.8101
1964-04-30,2.6903
1964-05-31,2.6595
1964-06-30,2.8632
1964-07-31,3.1106
1964-08-31,3.2182
1964-09-30,3.0319
1964-10-31,2.9848
1964-11-30,2.7558
1964-12-31,2.9814
1965-01-31,3.0906
1965-02-28,3.0141
1965-03-31,3.0146
1965-04-30,2.8145
1965-05-31,2.5976
1965-06-30,2.2783
1965-07-31,2.3995
1965-08-31,2.6420
1965-09-30,2.5530
1965-10-31,2.6464
1965-11-30,2.7187
1965-12-31,2.6955
1966-01-31,2.6942
1966-02-28,2.2746
1966-03-31,2.0948
1966-04-30,1.8819
1966-05-31,2.0149
1966-06-30,2.3786
1966-07-31,2.2631
1966-08-31,1.7378
1966-09-30,1.6087
1966-10-31,1.2200
1966-11-30,1.5962
1966-12-31,1.4834
1967-01-31,1.3795
1967-02-28,1.7588
1967-03-31,1.9937
1967-04-30,2.0532
1967-05-31,2.5293
1967-06-30,2.1815
1967-07-31,2.2314
1967-08-31,2.6723
1967-09-30,2.7066
1967-10-31,2.8934
1967-11-30,2.6513
1967-12-31,2.4183
1968-01-31,1.8812
1968-02-29,1.9273
1968-03-31,1.8006
1968-04-30,1.7110
1968-05-31,1.6399
1968-06-30,1.5138
1968-07-31,1.0044
1968-08-31,0.9428
1968-09-30,0.9957
1968-10-31,0.8348
1968-11-30,1.2713
1968-12-31,1.3260
1969-01-31,1.3497
1969-02-28,1.5106
1969-03-31,1.0482
1969-04-30,0.6501
1969-05-31,0.8161
1969-06-30,1.0988
1969-07-31,1.2754
1969-08-31,1.2629
1969-09-30,1.4615
1969-10-31,1.4297
1969-11-30,1.2119
1969-12-31,1.7552
1970-01-31,1.6323
1970-02-28,0.8138
1970-03-31,0.9787
1970-04-30,1.3303
1970-05-31,1.8622
1970-06-30,1.8309
1970-07-31,1.7508
1970-08-31,1.8361
1970-09-30,1.7291
1970-10-31,1.6966
1970-11-30,1.2411
1970-12-31,0.8211
1971-01-31,0.9615
1971-02-28,1.3878
1971-03-31,1.2648
1971-04-30,1.6780
1971-05-31,1.9884
1971-06-30,2.1408
1971-07-31,2.3593
1971-08-31,2.2238
1971-09-30,2.0579
1971-10-31,2.1187
1971-11-30,2.2746
1971-12-31,2.6600
1972-01-31,2.6895
1972-02-29,2.3216
1972-03-31,2.5686
1972-04-30,2.7032
1972-05-31,2.9006
1972-06-30,3.1439
1972-07-31,3.1573
1972-08-31,3.2620
1972-09-30,3.3632
1972-10-31,3.3010
1972-11-30,2.8659
1972-12-31,2.9522
1973-01-31,2.8238
1973-02-28,2.7708
1973-03-31,1.8782
1973-04-30,1.3673
1973-05-31,1.3184
1973-06-30,0.9048
1973-07-31,1.3893
1973-08-31,0.0062
1973-09-30,-0.2729
1973-10-31,-1.2626
1973-11-30,-1.5262
1973-12-31,-2.1975
1974-01-31,-2.6132
1974-02-28,-3.0428
1974-03-31,-2.9292
1974-04-30,-2.5563
1974-05-31,-3.1302
1974-06-30,-3.3242
1974-07-31,-3.7335
1974-08-31,-2.8448
1974-09-30,-3.9094
1974-10-31,-3.9453
1974-11-30,-4.5193
1974-12-31,-4.6612
1975-01-31,-4.2508
1975-02-28,-3.8129
1975-03-31,-2.7323
1975-04-30,-1.9603
1975-05-31,-1.1997
1975-06-30,-1.3227
1975-07-31,-1.4721
1975-08-31,-0.2196
1975-09-30,0.5215
1975-10-31,0.4907
1975-11-30,0.6743
1975-12-31,0.8677
1976-01-31,1.0502
1976-02-29,1.5190
1976-03-31,1.6737
1976-04-30,1.7152
1976-05-31,1.6803
1976-06-30,1.8801
1976-07-31,2.2763
1976-08-31,2.0491
1976-09-30,2.0998
1976-10-31,1.9465
1976-11-30,2.2278
1976-12-31,1.8331
1977-01-31,2.0162
1977-02-28,1.3088
1977-03-31,1.0314
1977-04-30,0.4186
1977-05-31,0.7191
1977-06-30,0.5735
1977-07-31,0.6633
1977-08-31,0.7648
1977-09-30,0.9202
1977-10-31,1.1332
1977-11-30,0.8648
1977-12-31,1.0072
1978-01-31,1.1419
1978-02-28,1.7939
1978-03-31,1.6601
1978-04-30,1.6540
1978-05-31,1.2029
1978-06-30,1.0243
1978-07-31,0.9097
1978-08-31,0.5549
1978-09-30,-0.0664
1978-10-31,-0.2862
1978-11-30,-0.0660
1978-12-31,0.0177
1979-01-31,-0.1509
1979-02-28,-0.7429
1979-03-31,-1.1351
1979-04-30,-1.3031
1979-05-31,-1.4453
1979-06-30,-2.1631
1979-07-31,-2.5004
1979-08-31,-2.8066
1979-09-30,-2.5450
1979-10-31,-1.7724
1979-11-30,-1.9394
1979-12-31,-2.8688
1980-01-31,-3.0663
1980-02-29,-1.7471
1980-03-31,-1.8432
1980-04-30,-3.1159
1980-05-31,-4.2443
1980-06-30,-4.4878
1980-07-31,-2.9030
1980-08-31,-1.7882
1980-09-30,-1.2602
1980-10-31,-0.8816
1980-11-30,0.0531
1980-12-31,0.4904
1981-01-31,0.7737
1981-02-28,1.8020
1981-03-31,2.5042
1981-04-30,3.5436
1981-05-31,4.3076
1981-06-30,3.7753
1981-07-31,3.5061
1981-08-31,4.1198
1981-09-30,4.3584
1981-10-31,4.8765
1981-11-30,3.8133
1981-12-31,4.8125
1982-01-31,6.3371
1982-02-28,6.8119
1982-03-31,6.9764
1982-04-30,7.2501
1982-05-31,6.7106
1982-06-30,7.1172
1982-07-31,7.3888
1982-08-31,7.0897
1982-09-30,7.3981
1982-10-31,5.8744
1982-11-30,6.0729
1982-12-31,6.7143
1983-01-31,6.7495
1983-02-28,7.2400
1983-03-31,6.9162
1983-04-30,6.4000
1983-05-31,6.9389
1983-06-30,8.3744
1983-07-31,9.0180
1983-08-31,9.3896
1983-09-30,8.8902
1983-10-31,8.7887
1983-11-30,8.5267
1983-12-31,8.0424
1984-01-31,7.3842
1984-02-29,7.1482
1984-03-31,7.4261
1984-04-30,8.0788
1984-05-31,9.0740
1984-06-30,9.2369
1984-07-31,9.0538
1984-08-31,8.4204
1984-09-30,8.2398
1984-10-31,7.8946
1984-11-30,7.4183
1984-12-31,7.4561
1985-01-31,7.8583
1985-02-28,7.9027
1985-03-31,8.0652
1985-04-30,7.8530
1985-05-31,7.2719
1985-06-30,6.4916
1985-07-31,6.8486
1985-08-31,6.9793
1985-09-30,7.1258
1985-10-31,7.0018
1985-11-30,6.2678
1985-12-31,5.4676
1986-01-31,5.2203
1986-02-28,5.5057
1986-03-31,5.6249
1986-04-30,5.7103
1986-05-31,6.0304
1986-06-30,6.0321
1986-07-31,5.6319
1986-08-31,5.5902
1986-09-30,5.6900
1986-10-31,5.8595
1986-11-30,5.9662
1986-12-31,5.9255
1987-01-31,5.7196
1987-02-28,5.3362
1987-03-31,4.4072
1987-04-30,4.3430
1987-05-31,4.9433
1987-06-30,4.6546
1987-07-31,4.5199
1987-08-31,4.4722
1987-09-30,5.1492
1987-10-31,5.1643
1987-11-30,4.3315
1987-12-31,4.6556
1988-01-31,4.5365
1988-02-29,4.2764
1988-03-31,4.5410
1988-04-30,4.7256
1988-05-31,5.1067
1988-06-30,4.9566
1988-07-31,4.9259
1988-08-31,5.1484
1988-09-30,4.7923
1988-10-31,4.5346
1988-11-30,4.7164
1988-12-31,4.6939
1989-01-31,4.6087
1989-02-28,4.5218
1989-03-31,4.4650
1989-04-30,4.1414
1989-05-31,3.5825
1989-06-30,3.1078
1989-07-31,2.9552
1989-08-31,3.4908
1989-09-30,3.7554
1989-10-31,3.4205
1989-11-30,3.2193
1989-12-31,3.1964
1990-01-31,3.0086
1990-02-28,3.2100
1990-03-31,3.3513
1990-04-30,4.0739
1990-05-31,4.3928
1990-06-30,3.8063
1990-07-31,3.6522
1990-08-31,3.0498
1990-09-30,2.7233
1990-10-31,2.3400
1990-11-30,2.1966
1990-12-31,1.8201
1991-01-31,2.4448
1991-02-28,2.5422
1991-03-31,3.2888
1991-04-30,3.2292
1991-05-31,3.0329
1991-06-30,3.5881
1991-07-31,3.9049
1991-08-31,4.1006
1991-09-30,4.2538
1991-10-31,4.6787
1991-11-30,4.3508
1991-12-31,4.1079
1992-01-31,4.3598
1992-02-29,4.5189
1992-03-31,4.3524
1992-04-30,4.2976
1992-05-31,4.3684
1992-06-30,4.2471
1992-07-31,3.6874
1992-08-31,3.5110
1992-09-30,3.4225
1992-10-31,3.3092
1992-11-30,3.7527
1992-12-31,3.8033
1993-01-31,3.3462
1993-02-28,3.0122
1993-03-31,2.9558
1993-04-30,2.8131
1993-05-31,2.8143
1993-06-30,2.9649
1993-07-31,2.9583
1993-08-31,2.8368
1993-09-30,2.5960
1993-10-31,2.5817
1993-11-30,2.9795
1993-12-31,2.9631
1994-01-31,3.2995
1994-02-28,3.4574
1994-03-31,3.8308
1994-04-30,4.6077
1994-05-31,4.8948
1994-06-30,4.6066
1994-07-31,4.5990
1994-08-31,4.3355
1994-09-30,4.4916
1994-10-31,5.1341
1994-11-30,5.3523
1994-12-31,5.2164
1995-01-31,4.9087
1995-02-28,4.6065
1995-03-31,4.4176
1995-04-30,3.9376
1995-05-31,3.5141
1995-06-30,3.1256
1995-07-31,3.4478
1995-08-31,3.8708
1995-09-30,3.6523
1995-10-31,3.3005
1995-11-30,3.3270
1995-12-31,3.1799
1996-01-31,2.8617
1996-02-29,3.0885
1996-03-31,3.4247
1996-04-30,3.6787
1996-05-31,3.9097
1996-06-30,4.0905
1996-07-31,3.9821
1996-08-31,3.8232
1996-09-30,3.8274
1996-10-31,3.4717
1996-11-30,2.9506
1996-12-31,2.9236
1997-01-31,3.5409
1997-02-28,3.3872
1997-03-31,3.9292
1997-04-30,4.4511
1997-05-31,4.4731
1997-06-30,4.2602
1997-07-31,4.0548
1997-08-31,4.0085
1997-09-30,3.9892
1997-10-31,3.9436
1997-11-30,3.9846
1997-12-31,4.1116
1998-01-31,3.9134
1998-02-28,4.1345
1998-03-31,4.2706
1998-04-30,4.1992
1998-05-31,3.9639
1998-06-30,3.8734
1998-07-31,3.7157
1998-08-31,3.7250
1998-09-30,3.3799
1998-10-31,3.0439
1998-11-30,3.3431
1998-12-31,3.0381
1999-01-31,3.0554
1999-02-28,3.3323
1999-03-31,3.5042
1999-04-30,2.9034
1999-05-31,3.4485
1999-06-30,3.9339
1999-07-31,3.6473
1999-08-31,3.6747
1999-09-30,3.2853
1999-10-31,3.5495
1999-11-30,3.4136
1999-12-31,3.5991
2000-01-31,3.8680
2000-02-29,3.3015
2000-03-31,2.4944
2000-04-30,2.9767
2000-05-31,3.3079
2000-06-30,2.3623
2000-07-31,2.4547
2000-08-31,2.4748
2000-09-30,2.3425
2000-10-31,2.2882
2000-11-30,2.2730
2000-12-31,1.8045
2001-01-31,1.4397
2001-02-28,1.5695
2001-03-31,1.9030
2001-04-30,1.9227
2001-05-31,1.8283
2001-06-30,2.0903
2001-07-31,2.5147
2001-08-31,2.2498
2001-09-30,2.1396
2001-10-31,2.4392
2001-11-30,2.7571
2001-12-31,3.4838
2002-01-31,3.8398
2002-02-28,3.7752
2002-03-31,3.9211
2002-04-30,3.5669
2002-05-31,3.9237
2002-06-30,3.8573
2002-07-31,3.1876
2002-08-31,2.5098
2002-09-30,2.3540
2002-10-31,1.9139
2002-11-30,1.7949
2002-12-31,1.5521
2003-01-31,1.2911
2003-02-28,0.7566
2003-03-31,0.7819
2003-04-30,1.7834
2003-05-31,1.6749
2003-06-30,1.3855
2003-07-31,1.9199
2003-08-31,2.2292
2003-09-30,1.8960
2003-10-31,2.2485
2003-11-30,2.3716
2003-12-31,2.2325
2004-01-31,2.1242
2004-02-29,2.3958
2004-03-31,2.0864
2004-04-30,2.0550
2004-05-31,1.8177
2004-06-30,1.5661
2004-07-31,1.5585
2004-08-31,1.7339
2004-09-30,1.5865
2004-10-31,0.9061
2004-11-30,0.5724
2004-12-31,0.8886
2005-01-31,1.3766
2005-02-28,1.1122
2005-03-31,1.2909
2005-04-30,0.9792
2005-05-31,1.2750
2005-06-30,1.4572
2005-07-31,1.1103
2005-08-31,0.6157
2005-09-30,-0.5428
2005-10-31,0.1134
2005-11-30,1.1965
2005-12-31,1.1286
2006-01-31,0.3972
2006-02-28,0.9307
2006-03-31,1.3060
