date,value
1960-01-31,35
1960-02-29,35
1960-03-31,35
1960-04-30,35
1960-05-31,35
1960-06-30,35
1960-07-31,35
1960-08-31,35
1960-09-30,35
1960-10-31,35
1960-11-30,35
1960-12-31,35
1961-01-31,35
1961-02-28,35
1961-03-31,35
1961-04-30,35
1961-05-31,35
1961-06-30,35
1961-07-31,35
1961-08-31,35
1961-09-30,35
1961-10-31,35
1961-11-30,35
1961-12-31,35
1962-01-31,35
1962-02-28,35
1962-03-31,35
1962-04-30,35
1962-05-31,35
1962-06-30,35
1962-07-31,35
1962-08-31,35
1962-09-30,35
1962-10-31,35
1962-11-30,35
1962-12-31,35
1963-01-31,35
1963-02-28,35
1963-03-31,35
1963-04-30,35
1963-05-31,35
1963-06-30,35
1963-07-31,35
1963-08-31,35
1963-09-30,35
1963-10-31,35
1963-11-30,35
1963-12-31,35
1964-01-31,35
1964-02-29,35
1964-03-31,35
1964-04-30,35
1964-05-31,35
1964-06-30,35
1964-07-31,35
1964-08-31,35
1964-09-30,35
1964-10-31,35
1964-11-30,35
1964-12-31,35
1965-01-31,35
1965-02-28,35
1965-03-31,35
1965-04-30,35
1965-05-31,35
1965-06-30,35
1965-07-31,35
1965-08-31,35
1965-09-30,35
1965-10-31,35
1965-11-30,35
1965-12-31,35
1966-01-31,35
1966-02-28,35
1966-03-31,35
1966-04-30,35
1966-05-31,35
1966-06-30,35
1966-07-31,35
1966-08-31,35
1966-09-30,35
1966-10-31,35
1966-11-30,35
1966-12-31,35
1967-01-31,35
1967-02-28,35
1967-03-31,35
1967-04-30,35
1967-05-31,35
1967-06-30,35
1967-07-31,35
1967-08-31,35
1967-09-30,35
1967-10-31,35
1967-11-30,35
1967-12-31,35
1968-01-31,36
1968-02-29,36
1968-03-31,37
1968-04-30,38
1968-05-31,41
1968-06-30,41
1968-07-31,39
1968-08-31,39
1968-09-30,40
1968-10-31,39
1968-11-30,40
1968-12-31,41
1969-01-31,42
1969-02-28,43
1969-03-31,43
1969-04-30,43
1969-05-31,43
1969-06-30,41
1969-07-31,42
1969-08-31,41
1969-09-30,41
1969-10-31,40
1969-11-30,37
1969-12-31,35
1970-01-31,35
1970-02-28,35
1970-03-31,35
1970-04-30,36
1970-05-31,36
1970-06-30,35
1970-07-31,35
1970-08-31,35
1970-09-30,36
1970-10-31,38
1970-11-30,37
1970-12-31,37
1971-01-31,38
1971-02-28,39
1971-03-31,39
1971-04-30,39
1971-05-31,41
1971-06-30,40
1971-07-31,41
1971-08-31,43
1971-09-30,42
1971-10-31,43
1971-11-30,43
1971-12-31,43
1972-01-31,46
1972-02-29,48
1972-03-31,48
1972-04-30,49
1972-05-31,55
1972-06-30,62
1972-07-31,66
1972-08-31,67
1972-09-30,65
1972-10-31,65
1972-11-30,63
1972-12-31,64
1973-01-31,65
1973-02-28,74
1973-03-31,84
1973-04-30,91
1973-05-31,102
